title,author,lent_by,lent_since,lent_times,year,catalogued,location,excerpt
Curious Revelation of the Trolls,Mastermagician David Williams,Adrienne Holland,year -378 in the 2nd month,2,The 2nd year after Magic Bananas,year -234 in the 7th month,Great Hall: bottom shelve. 7m from the start,Plan statement everybody drop event.
Eccentric Exploit of the Dungeon Dimensions,Supreme Archchancellor James Walsh,,,2,The 9th year after Turtle Moves,year 0293 in the 5th month,Mended Drum: top shelve. 12m from the start,Camera ok contain for.
Illustrious Illusion of the Death,Chief Scrivener Corey Gardner,,,7,The 12th year after Magic Bananas,year 0206 in the 11th month,Restricted Section: bottom shelve. 1m from the end,Image third keep opportunity activity lot.
Perilous Mystery of the Nac Mac Feegle,Supreme Archchancellor Brandy Mclean,,,6,The 10th year after Wizzard's Hat,year 0008 in the 2nd month,Dungeon Dimensions: top shelve. 10m from the start,Director life behavior book loss.
Spectacular Epic of Magic,Senior Guildmaster Zachary Jones,Joshua Figueroa,unknown,2,The 1st year after Octarine Sunset,year 0416 in the 11th month,Great Hall: top shelve. 10m from the end,Decision nearly information discuss member back nice TV.
Illustrious Saga of the Agatean Empire,Principal Witch Kristin Archer,,,3,The 13th year after Prawn,year -201 in the 3rd month,Great Hall: top shelve. 2m from the start,Build sometimes citizen member get task girl.
Stupendous Chronicle of the Patrician,Principal Witch Stacy Grant,,,8,The 9th year after Prawn,year 0494 in the 4th month,Restricted Section: middle shelve. 6m from the start,Development way generation.
Phantasmal Illusion of the Nac Mac Feegle,Mastermagician Mrs. Sherry Park,,,2,The 3rd year after Squid,year 0256 in the 4th month,Restricted Section: bottom shelve. 4m from the end,Medical represent ago add.
Improbable Conundrum in Ankh-Morpork,Chief Scrivener Sydney Sanford,,,0,The 10th year after Assassin's Guild,year -170 in the 5th month,Tower of Art: middle shelve. 2m from the start,Speech simply third might.
Wondrous Chronicle of the Dungeon Dimensions,Foremost Patrician Alyssa Edwards,,,5,The 6th year after Patrician's Eyebrow,year 0894 in the 9th month,Tower of Art: middle shelve. 7m from the end,Person occur continue begin why space small.
Hilarious Adventure of the City Watch,Jacqueline Mason,Grant King,year 0598 in the 7th month,7,The year of Imp-powered Devices,year 0742 in the 2nd month,Restricted Section: middle shelve. 8m from the start,Just kitchen job.
Dreadful Furlough of the Agatean Empire,Mastermagician Charles Hester,,,0,The 13th year after Silver Horde,year 0258 in the 12th month,Mended Drum: bottom shelve. 11m from the end,Able within them pass assume talk full.
Bewitching Fable of the Witches,Chief Scrivener John Scott,,,42,The 11th year after Seamstress's Secrets,year 0893 in the 12th month,Restricted Section: middle shelve. 2m from the start,So professor commercial surface yard.
Eccentric Expedition of the Hogfather,Senior Guildmaster Jeffery Watson,Tonya Williams,year -441 in the 3rd month,1,The 14th year after Crystal Goblins,year -275 in the 1st month,Great Hall: top shelve. 7m from the end,Listen value service increase wall part.
Puzzling Folklore of the Dungeon Dimensions,Principal Witch Samuel Jackson,,,6,The 3rd year after Topsy-Turvy Times,year 0468 in the 6th month,Tower of Art: middle shelve. 15m from the start,My doctor little service.
Spectacular Epic of the Nac Mac Feegle,Steven Flowers,,,0,The 1st year after Magic Bananas,year 0023 in the 11th month,Tower of Art: middle shelve. 14m from the end,Letter white catch baby better.
Unbelievable Yarn of the City Watch,Chief Scrivener Barbara Taylor,,,2,The 3rd year after Quantum Weather Butterflies,unknown,Restricted Section: middle shelve. 3m from the start,Sea board stay myself scene about generation.
Phantasmal Saga of the Agatean Empire,Frank Garrett,,,42,The 6th year after Sentient Luggage,year -290 in the 12th month,Great Hall: middle shelve. 13m from the start,End play interesting table note.
Hilarious Allegory of the Agatean Empire,Eminent Thief Tiffany Stafford,,,1,The 3rd year after Invisible College,year -120 in the 7th month,Mended Drum: bottom shelve. 10m from the end,Modern tend low little fire series.
Enchanted Episode of the Agatean Empire,Lead Alchemist Shirley Becker,Joseph Myers,year -463 in the 7th month,9,The 5th year after Topsy-Turvy Times,year -405 in the 7th month,Dungeon Dimensions: middle shelve. 4m from the start,Approach want evening herself data group possible.
Bewildering Furlough of the Patrician,Foremost Patrician Douglas Miller,Kaitlyn Cox,year -499 in the 7th month,42,The 7th year after Squid,year -469 in the 3rd month,Tower of Art: middle shelve. 1m from the end,Know central player agree.
Curious Chronicle of the Witches,Grandmaster of Guilds Derek Franco,Stephanie Morris,year -427 in the 7th month,42,The 11th year after Guild Wars,year 0392 in the 7th month,Tower of Art: top shelve. 14m from the start,Fact my leader yes late world.
Perilous Furlough of the Wizards,High Wizard of Unseen Jennifer Davis,,,42,The 2nd year after Squid,year -439 in the 7th month,Great Hall: top shelve. 1m from the end,Interview appear friend bag energy.
Peculiar Furlough of the Rincewind,Supreme Archchancellor Steven Singh,Natalie Morales DDS,year -440 in the 10th month,7,The 7th year after Imp-powered Devices,year -015 in the 9th month,Restricted Section: top shelve. 14m from the start,Expect option exist side full.
Bewitching Furlough of the Clacks,Eminent Thief Christopher Rodriguez,Sean Moreno,year -059 in the 9th month,42,The 10th year after Magic Bananas,year 0372 in the 8th month,Dungeon Dimensions: middle shelve. 11m from the end,Pattern international gun all article even.
Dreadful Parable of the Death,Mastermagician Tyrone Davila,,,0,The 9th year after Magic Bananas,year 0514 in the 6th month,Mended Drum: bottom shelve. 2m from the start,Success raise know without these administration media my.
Majestic Quest of Magic,Supreme Archchancellor Eric Simpson,Janet Mendoza,year 0340 in the 2nd month,4,The 9th year after Octarine Sunset,year 0793 in the 1st month,Restricted Section: middle shelve. 6m from the start,Way sport relationship remain these those.
Delightful Myth of the Nac Mac Feegle,Chief Scrivener Anna Miller DDS,Shannon Williams,year 0151 in the 1st month,4,The 11th year after Mended Drum,year 0777 in the 10th month,Tower of Art: middle shelve. 6m from the end,Trip best theory indicate ready something ask.
Improbable Tale of the Lancre,Mastermagician Nicholas Stanley,,,3,The 11th year after Turtle Moves,year 0088 in the 4th month,Dungeon Dimensions: top shelve. 2m from the start,Road above something head.
Delightful Quest of the Rincewind,Foremost Patrician Tabitha Sheppard,Tricia Gordon,year 0812 in the 7th month,4,The 11th year after Talking Dog,year 0939 in the 11th month,Mended Drum: top shelve. 8m from the end,Claim get court treatment.
Ludicrous Quest of the Wizards,Jordan Wilson,Marcus Jones,year -246 in the 7th month,1,The 6th year after Talking Dog,year 0165 in the 7th month,Tower of Art: middle shelve. 11m from the end,Identify term during physical station computer.
Bewildering Tale of the Agatean Empire,Supreme Archchancellor Yolanda Banks,,,9,The 13th year after Hedgehog,year 0465 in the 3rd month,Dungeon Dimensions: middle shelve. 11m from the start,Guy base picture across both.
Improbable Narrative of the Rincewind,Senior Guildmaster Alan Rojas,,,7,The 5th year after Prawn,year -192 in the 7th month,Mended Drum: top shelve. 10m from the start,Discussion bag paper center physical.
Bizarre Tale of the Counterweight Continent,Principal Witch Loretta Mcdonald,Aaron Nelson,year 0111 in the 1st month,4,The year of Mended Drum,year 0986 in the 11th month,Dungeon Dimensions: middle shelve. 5m from the start,Remember guess worry show upon chair organization.
Spectacular Yarn of the Golems,Senior Guildmaster Fernando Edwards,Tracy Davis,year -385 in the 2nd month,2,The 10th year after Opera House Ghost,year -205 in the 7th month,Mended Drum: top shelve. 14m from the end,Board everything nothing.
Eccentric Parable of the City Watch,Chief Scrivener Kenneth Evans,,,5,The 11th year after Sentient Luggage,year 0601 in the 6th month,Great Hall: bottom shelve. 2m from the start,Compare various stand phone produce mother while.
Wondrous Conundrum of the City Watch,Professor Barbara Thomas,Samantha Yang,year 0562 in the 1st month,7,The 11th year after Knurd,year 0840 in the 5th month,Mended Drum: bottom shelve. 13m from the start,Point produce small.
Stupendous Escapade of the Golems,Jeffrey Horne,,,4,The 8th year after Bursar's Sanity,year 0383 in the 4th month,Restricted Section: bottom shelve. 2m from the start,Religious order page beyond wide hospital song.
Peculiar Journey of the Wizards,Foremost Patrician Scott Turner,William Valencia,year -381 in the 7th month,7,The 5th year after Octarine Sunset,year -378 in the 9th month,Mended Drum: top shelve. 9m from the end,Collection hope create kind future television.
Fanciful Legend of the Rincewind,Hannah Hammond,Victor Mcclure,year -449 in the 9th month,0,The 1st year after Magic Bananas,year -361 in the 7th month,Dungeon Dimensions: bottom shelve. 11m from the end,Yard coach according section tree personal.
Delightful Narrative of the Lancre,Supreme Archchancellor Randy Duncan MD,,,1,The 13th year after Amazing Maurice,year 0208 in the 2nd month,Mended Drum: top shelve. 15m from the end,Everything court before feeling data probably wait.
Eccentric Saga of the Golems,Chief Scrivener Kevin Pham,,,8,The 3rd year after Prawn,year 0036 in the 8th month,Great Hall: top shelve. 5m from the end,Ok think general ten tell.
Improbable Illusion of the Trolls,Lead Alchemist Stephen Washington,Angela Johnson,year 0892 in the 4th month,6,The 13th year after Howondaland Expedition,year 0992 in the 7th month,Great Hall: bottom shelve. 1m from the end,Meet thousand cost.
Bizarre Chronicle of the Nac Mac Feegle,Eminent Thief Kristie Montes,,,1,The 12th year after Klatchian Coffee,year 0169 in the 3rd month,Tower of Art: bottom shelve. 14m from the end,Care no at.
Improbable Parable of the Hogfather,Lead Alchemist Cindy Collins,Ann Norman,year 0432 in the 1st month,2,The 6th year after Klatchian Coffee,unknown,Great Hall: top shelve. 13m from the start,Plan ever lose property.
Fantastical Adventure of the Lancre,Principal Witch Daniel Blanchard,,,7,The 12th year after Crystal Goblins,year 0922 in the 8th month,Mended Drum: top shelve. 7m from the end,Trade operation past hard cold environment health worker.
Eccentric Allegory of the Witches,Eminent Thief Jordan Goodman,,,5,The 12th year after Talking Dog,year 0947 in the 3rd month,Mended Drum: top shelve. 7m from the start,South computer accept with.
Ridiculous Tale of the Dungeon Dimensions,Lead Alchemist Aaron Dixon,Sabrina Martin,year -471 in the 10th month,42,The 5th year after Patrician's Eyebrow,year 0865 in the 8th month,Restricted Section: top shelve. 8m from the end,Occur wall scene hot a ago.
Enchanted Lore of the Unseen University,Lead Alchemist Beth Phillips,Christopher Banks,year 0028 in the 3rd month,9,The 9th year after Lancre Coven,year 0097 in the 7th month,Tower of Art: middle shelve. 1m from the start,Child rather husband raise weight practice reduce.
Glorious Saga of the Counterweight Continent,Mastermagician Terri Sosa,Timothy Lam,year -201 in the 9th month,3,The year of Tin Trunk,year 0046 in the 7th month,Restricted Section: middle shelve. 11m from the start,Wife white difficult herself as civil community.
Incredible Myth of the Clacks,Mastermagician Sabrina Carroll,Amy Stone,year -154 in the 11th month,3,The 12th year after Golem Uprising,year 0274 in the 10th month,Dungeon Dimensions: top shelve. 14m from the end,Court conference real force chair.
Delightful Odyssey of the Golems,High Wizard of Unseen Brenda Lester,Kristen Ferguson,year -010 in the 5th month,1,The 5th year after Mended Drum,unknown,Restricted Section: top shelve. 6m from the end,You ahead sit store rather with lawyer budget.
Wondrous Lore of the Hogfather,Grandmaster of Guilds Victor Elliott,Christopher Shannon,year -234 in the 5th month,4,The 7th year after Wizzard's Hat,year 0306 in the 7th month,Tower of Art: top shelve. 1m from the end,Eat something body film.
Delightful Adventure of the Trolls,Lead Alchemist Brandon Miller,,,42,The 3rd year after Silver Horde,year -107 in the 7th month,Restricted Section: middle shelve. 4m from the start,Necessary travel something certain similar possible.
Amazing Expedition in Ankh-Morpork,Grandmaster of Guilds Geoffrey Martinez,Larry Soto,year -171 in the 10th month,0,The 12th year after Quantum Weather Butterflies,year 0587 in the 12th month,Tower of Art: middle shelve. 7m from the end,Model whatever to bank positive Democrat party magazine.
Eccentric Furlough of the Trolls,Imperial Assassin Kathryn Cross,,,3,The 10th year after Patrician's Eyebrow,year 0550 in the 7th month,Great Hall: bottom shelve. 9m from the start,Ever opportunity shoulder wonder against development and arrive.
Enigmatic Saga of the Golems,Principal Witch Whitney Goodman,Michelle Bird,year -324 in the 1st month,4,The 13th year after Tin Trunk,year 0343 in the 7th month,Dungeon Dimensions: middle shelve. 4m from the start,Base concern paper husband available.
Remarkable Saga of Magic,Principal Witch Lori Jefferson,Jennifer Bauer,year 0723 in the 12th month,9,The 2nd year after Librarian's Wrath,unknown,Dungeon Dimensions: top shelve. 1m from the start,Federal state at six could exist chance.
Majestic Lore in Ankh-Morpork,Curtis Nicholson,Jeffrey Pham,year 0797 in the 5th month,9,The 11th year after Talking Dog,year 0810 in the 7th month,Great Hall: bottom shelve. 12m from the start,Person career gas government determine world office community.
Unbelievable Parable of Magic,Chief Scrivener Javier Hutchinson,,,3,The 12th year after Tin Trunk,year 0834 in the 10th month,Mended Drum: top shelve. 3m from the start,Both focus step require time send.
Enchanted Lore of the Trolls,Supreme Archchancellor Jessica Lopez,,,0,The 12th year after Squid,year -415 in the 4th month,Restricted Section: top shelve. 9m from the start,Of recent when might result.
Wondrous Folklore of the Rincewind,High Wizard of Unseen Karla Collins,,,4,The 4th year after Knurd,year 0203 in the 1st month,Mended Drum: middle shelve. 5m from the end,Control learn note cut.
Phantasmal Revelation of the Counterweight Continent,High Wizard of Unseen Danielle Miller,,,6,The 1st year after Talking Dog,year 0561 in the 6th month,Tower of Art: bottom shelve. 9m from the start,Race fight management may.
Curious Myth of the Patrician,Imperial Assassin Seth Escobar,,,1,The 2nd year after Seamstress's Guild,year 0171 in the 5th month,Great Hall: top shelve. 8m from the start,Parent also together finally require.
Bewitching Tale of the City Watch,Supreme Archchancellor Angela Brown,Adrienne Walker,year -309 in the 9th month,1,The 2nd year after Hedgehog,unknown,Mended Drum: middle shelve. 9m from the end,Pass really policy find cup together.
Illustrious Myth of the Trolls,Professor Robert Barrett,Anna Wilkins,year -204 in the 5th month,2,The year of Magic Bananas,year -093 in the 6th month,Dungeon Dimensions: top shelve. 5m from the start,Entire dinner consider Republican today.
Glorious Parable of the Dungeon Dimensions,David Ward,Zachary Townsend,year -447 in the 7th month,4,The 10th year after Prawn,year -156 in the 5th month,Dungeon Dimensions: middle shelve. 11m from the start,This level receive civil.
Improbable Adventure of the Librarian,Christine Johnson,,,42,The 9th year after Wizzard's Hat,year 0944 in the 7th month,Tower of Art: middle shelve. 8m from the end,State bag break evening country.
Spectacular Revelation of Magic,Eminent Thief Charles Robinson,Vanessa Carrillo,year -139 in the 8th month,3,The 12th year after Octarine Sunset,year 0345 in the 7th month,Great Hall: middle shelve. 6m from the start,Pattern order wide.
Dauntless Allegory of the City Watch,Imperial Assassin Eric Nguyen,Mark Smith,year -442 in the 7th month,1,The 4th year after Talking Dog,year -249 in the 3rd month,Tower of Art: middle shelve. 10m from the start,Like six debate then officer.
Dauntless Episode of the Witches,Principal Witch Miguel Bradley,,,8,The 4th year after Amazing Maurice,year -091 in the 12th month,Great Hall: bottom shelve. 7m from the start,My common lead southern hospital.
Comical Episode of the Rincewind,Senior Guildmaster Amanda Ryan,Paul Miller,year -489 in the 1st month,3,The 3rd year after Prawn,year -241 in the 11th month,Great Hall: bottom shelve. 8m from the start,Represent perform career window maybe more.
Comical Revelation of the Lancre,Grandmaster of Guilds Terrance Robertson,,,0,The 1st year after Knurd,year 0174 in the 7th month,Tower of Art: top shelve. 7m from the start,Stock reason wonder not.
Frightening Parable of the Trolls,Foremost Patrician Joseph Gonzalez,Judy Ingram,year -216 in the 6th month,42,The year of Crystal Goblins,year -051 in the 10th month,Restricted Section: top shelve. 2m from the start,Interview home though mean already ever.
Peculiar Journey in Ankh-Morpork,Eminent Thief Claudia Krause,,,8,The 10th year after Klatchian Coffee,year -121 in the 1st month,Mended Drum: top shelve. 9m from the end,Them throughout hard require class game might change.
Dauntless Journey of the Witches,Mastermagician Michael Greer,Mary Ramirez,year -482 in the 7th month,4,The 4th year after Patrician's Eyebrow,year -171 in the 7th month,Restricted Section: bottom shelve. 15m from the start,Similar car successful power name experience between.
Dauntless Exploit of the Trolls,Senior Guildmaster Maria Jordan,Austin Carson,year 0410 in the 7th month,5,The 6th year after Seamstress's Guild,year 0577 in the 4th month,Dungeon Dimensions: middle shelve. 6m from the end,Past oil everyone first fund present.
Ludicrous Saga of the Librarian,Eminent Thief Virginia Randall,Robert Smith,year 0042 in the 7th month,9,The 4th year after Golem Uprising,year -500 in the 11th month,Tower of Art: middle shelve. 2m from the start,Morning little figure grow pattern page citizen.
Illustrious Furlough of the Dungeon Dimensions,Foremost Patrician Eric Lewis,Elizabeth Williams,year -140 in the 1st month,2,The 14th year after Quantum Weather Butterflies,year -087 in the 7th month,Great Hall: bottom shelve. 7m from the start,Year high authority art moment make.
Bizarre Romance of Magic,Principal Witch Rachel Dominguez,,,42,The 14th year after Lancre Coven,year 0756 in the 7th month,Mended Drum: bottom shelve. 12m from the end,Maintain he into opportunity plant school class.
Curious Recital of the Counterweight Continent,Senior Guildmaster Leonard Lewis,,,1,The 12th year after Assassin's Guild,year 0878 in the 2nd month,Restricted Section: bottom shelve. 7m from the start,Social quality pressure nation.
Bewildering Lore of the Golems,Julie Smith,,,7,The 14th year after Prawn,year -060 in the 7th month,Great Hall: middle shelve. 11m from the start,This will policy true.
Delightful Saga of the Death,Senior Guildmaster Paul Hall,Christopher Watkins,year 0157 in the 1st month,9,The 8th year after Seamstress's Guild,year 0771 in the 12th month,Dungeon Dimensions: bottom shelve. 5m from the end,Lawyer pull guess suddenly.
Enigmatic Anecdote of the Counterweight Continent,Chief Scrivener Kathleen Sheppard,,,1,The 6th year after Imp-powered Devices,year 0273 in the 7th month,Mended Drum: middle shelve. 4m from the end,Value ready sure.
Incredible Exploit of the Lancre,John Bryant,Terry Jones,year -458 in the 8th month,2,The 7th year after Klatchian Coffee,year 0785 in the 7th month,Great Hall: bottom shelve. 10m from the start,Pay benefit animal animal husband possible represent.
Comical Escapade of the Golems,Eminent Thief Charles Burke,,,3,The 14th year after Prawn,year -478 in the 7th month,Dungeon Dimensions: bottom shelve. 6m from the end,Movement no plant kitchen fact.
Enigmatic Folklore of the Clacks,Grandmaster of Guilds Paul Lang,,,1,The 8th year after Tin Trunk,year 0633 in the 4th month,Dungeon Dimensions: top shelve. 5m from the end,Each short individual year society capital fast develop.
Unbelievable Mystery of the Counterweight Continent,Imperial Assassin Tammy Webb,Amanda Clements,year 0156 in the 9th month,42,The 5th year after Hogswatch Miracle,year 0666 in the 7th month,Tower of Art: middle shelve. 9m from the start,Early green wide friend sing learn.
Mysterious Chronicle of Magic,Grandmaster of Guilds Lauren Friedman,Alexandra Wilson,year -195 in the 12th month,7,The 8th year after Crystal Goblins,year 0467 in the 7th month,Great Hall: bottom shelve. 13m from the end,Day chance control if foot available manage great.
Ridiculous Allegory of the Patrician,Jennifer Wells,,,6,The 4th year after Guild Wars,year -047 in the 7th month,Mended Drum: bottom shelve. 11m from the end,Soon should surface.
Wondrous Legend of the Clacks,Supreme Archchancellor Ryan Hopkins,Steven Abbott,year -486 in the 7th month,8,The 2nd year after Golem Uprising,year -432 in the 5th month,Restricted Section: top shelve. 10m from the start,Cultural win prevent again grow.
Puzzling Fable of the Clacks,Senior Guildmaster Angela Barnes,,,0,The 3rd year after Turtle Moves,year 0222 in the 6th month,Mended Drum: bottom shelve. 11m from the end,Bit imagine environment.
Eccentric Escapade of Magic,Foremost Patrician James Williams,,,4,The 11th year after Prawn,year -082 in the 3rd month,Restricted Section: top shelve. 5m from the start,Save worry top know speak federal.
Unbelievable Recital of the Golems,Chief Scrivener James Smith,Holly Bryant,unknown,6,The 14th year after Assassin's Guild,year 0122 in the 4th month,Restricted Section: middle shelve. 11m from the start,Whatever list road now show work bag compare.
Improbable Saga of Magic,Senior Guildmaster Douglas Myers,Cole Wagner,year 0329 in the 11th month,7,The 14th year after Hedgehog,year 0622 in the 7th month,Restricted Section: middle shelve. 2m from the start,Kid place senior yet.
Unimaginable Anecdote of the Witches,Principal Witch Ian Ramirez,,,9,The 6th year after Fruitbat,year -205 in the 11th month,Dungeon Dimensions: top shelve. 9m from the end,Onto his cup account director.
Dreadful Exploit of the Wizards,Supreme Archchancellor Isabel Rodriguez,,,2,The 8th year after Librarian's Wrath,year 0735 in the 11th month,Great Hall: top shelve. 4m from the start,Final movie go about remember owner or.
Peculiar Quest of the City Watch,Imperial Assassin Brittany Lee,Linda Stevenson,year -397 in the 6th month,9,The 1st year after Patrician's Eyebrow,year 0060 in the 7th month,Great Hall: bottom shelve. 13m from the end,Speech that use south state result training.
Comical Saga of the Golems,Mastermagician Michelle Keller,,,1,The 1st year after Crystal Goblins,year 0025 in the 7th month,Tower of Art: middle shelve. 6m from the start,Management week near vote Mrs edge wear power.
Comical Journey of the Unseen University,Lead Alchemist Melissa Robinson,,,9,The 13th year after Hogswatch Miracle,year -117 in the 11th month,Great Hall: middle shelve. 2m from the end,Well order require worker deal approach.
Puzzling Furlough of the Rincewind,Lead Alchemist Catherine Smith,,,2,The year of Librarian's Wrath,year 0403 in the 7th month,Mended Drum: bottom shelve. 5m from the start,Write military suffer should end thing.
Unbelievable Romance of the Death,Foremost Patrician Dr. Brandon Gutierrez PhD,Meghan Gonzalez,year 0448 in the 7th month,2,The 3rd year after Lancre Coven,year 0829 in the 11th month,Mended Drum: middle shelve. 3m from the start,Surface agreement phone.
Spectacular Lore of the City Watch,Imperial Assassin Michael Johnson,Andrea Foley,year -356 in the 7th month,2,The 5th year after Tin Trunk,year 0622 in the 7th month,Mended Drum: middle shelve. 10m from the start,National friend common act try maybe.
Glorious Chronicle of the Witches,Mastermagician Kristi Castillo,Brandy Morgan,year 0039 in the 11th month,0,The 4th year after Guild Wars,year 0151 in the 7th month,Restricted Section: middle shelve. 6m from the start,Responsibility however information product give through mission attorney.
Unimaginable Myth of the Unseen University,Suzanne Hill,,,42,The 12th year after Prawn,year -089 in the 7th month,Great Hall: middle shelve. 6m from the start,Yet another kid argue not audience along report.
Illustrious Epic of Magic,Foremost Patrician Lori Esparza,,,3,The 5th year after Prawn,year -160 in the 1st month,Restricted Section: bottom shelve. 4m from the start,Medical business out school.
Frightening Adventure of the Nac Mac Feegle,Senior Guildmaster Andrew Jennings,Melissa Flynn,year -480 in the 7th month,5,The 11th year after Crystal Goblins,year -451 in the 7th month,Restricted Section: bottom shelve. 8m from the start,Standard really oil amount bed.
Puzzling Chronicle of the Nac Mac Feegle,Eminent Thief Lisa Long,Janet Schaefer,year -284 in the 7th month,42,The 9th year after Guild Wars,year 0050 in the 7th month,Great Hall: middle shelve. 11m from the end,Happen beyond quickly tree remain.
Incredible Saga of the Golems,Eminent Thief Steven Cannon,,,1,The 4th year after Assassin's Guild,year 0540 in the 6th month,Dungeon Dimensions: top shelve. 1m from the start,Attorney apply former current whole.
Fantastical Romance of the Rincewind,Chief Scrivener Johnny Mendez,,,8,The 14th year after Patrician's Eyebrow,year 0261 in the 7th month,Restricted Section: middle shelve. 1m from the start,Case book take either often still.
Unimaginable Conundrum of the Trolls,Chief Scrivener Rachel Bishop,,,7,The 12th year after Silver Horde,year 0212 in the 2nd month,Tower of Art: top shelve. 8m from the start,Fact against southern least risk.
Unimaginable Narrative of the Disc,Supreme Archchancellor James Burke,Michelle Maldonado,year -278 in the 3rd month,8,The 7th year after Wizzard's Hat,year -250 in the 2nd month,Great Hall: middle shelve. 4m from the end,Think fall I step.
Bewitching Journey of the Unseen University,Principal Witch Rachel Avila,,,9,The 10th year after Talking Dog,year -419 in the 7th month,Mended Drum: bottom shelve. 13m from the start,Bag final sometimes military its economic part.
Stupendous Journey of the Disc,Grandmaster of Guilds Julia Dickerson,,,8,The 2nd year after Klatchian Coffee,year 0134 in the 4th month,Tower of Art: middle shelve. 13m from the start,Establish base debate ask.
Fanciful Myth of the Death,Lead Alchemist Jason Smith,,,6,The 11th year after Knurd,year 0632 in the 4th month,Great Hall: bottom shelve. 1m from the start,Through picture there collection away.
Delightful Quest of the Hogfather,Mr. Tyler Johnson,Stephanie Gilbert,year 0579 in the 11th month,8,The 12th year after Prawn,year 0788 in the 2nd month,Dungeon Dimensions: middle shelve. 10m from the end,Table central agreement consider debate.
Ridiculous Illusion of the Wizards,Matthew Walsh,David Gentry,year -415 in the 5th month,7,The year of Cabbage,year 0066 in the 7th month,Tower of Art: top shelve. 15m from the end,A foreign daughter boy ago people available.
Ludicrous Saga of the Disc,High Wizard of Unseen Bruce Phillips,Jessica Norris,year -376 in the 5th month,4,The 2nd year after Mended Drum,year -159 in the 2nd month,Tower of Art: bottom shelve. 12m from the start,Million decide southern behavior course off.
Curious Lore of the Patrician,Lead Alchemist Anthony Logan,Nicole Salazar,year -247 in the 12th month,8,The 3rd year after Amazing Maurice,year 0263 in the 8th month,Tower of Art: top shelve. 1m from the start,Heart community series military executive.
Dreadful Adventure of the Agatean Empire,Lead Alchemist Mrs. Heather Winters,,,7,The 2nd year after Fruitbat,year 0159 in the 3rd month,Dungeon Dimensions: middle shelve. 9m from the start,Able catch thing back recent a.
Ludicrous Exploit of the Counterweight Continent,Grandmaster of Guilds Peter Silva,Amy Barnett,year -293 in the 9th month,2,The 7th year after Seamstress's Secrets,year -053 in the 12th month,Tower of Art: middle shelve. 12m from the end,Decide approach order institution animal.
Mysterious Revelation of the Rincewind,Mastermagician John Wilson,Russell Melton,year -363 in the 3rd month,5,The 3rd year after Seamstress's Secrets,year 0356 in the 7th month,Tower of Art: middle shelve. 5m from the start,And ground assume expect.
Curious Conundrum of the Counterweight Continent,Lead Alchemist Tanya Cole,Thomas King,year 0568 in the 5th month,9,The 10th year after Bursar's Sanity,year 0952 in the 6th month,Dungeon Dimensions: bottom shelve. 7m from the start,Support pretty worry technology north you usually.
